"Date","hour","temperature","kWh"
"12/22/2014",13,43.46,138.208420288127
"12/22/2014",14,42.44,135.634977189782
"12/22/2014",15,41.9,133.802631027486
"12/22/2014",16,41,131.438162392225
"12/22/2014",17,41,130.452929648067
"12/22/2014",18,40.1,128.118345151456
"12/22/2014",19,42.56,130.802324239147
"12/22/2014",20,41,73.358843420043
"12/22/2014",21,42.08,73.7129730942995
"12/22/2014",22,42.08,73.160436194514
"12/22/2014",23,42.08,72.6120409947957
"12/23/2014",0,42.89,88.630608222516
"12/23/2014",1,42.89,87.9662518760324
"12/23/2014",2,42.86,87.2778873646016
"12/23/2014",3,42.86,86.6236707283715
"12/23/2014",4,43.43,86.5151213334415
"12/23/2014",5,42.98,85.4432140684842
"12/23/2014",6,42.845,84.6762290966628
"12/23/2014",7,44.06,148.066215989163
"12/23/2014",8,44.06,146.956342862204
"12/23/2014",9,44.96,147.261261983245
"12/23/2014",10,44.06,144.761492372648
"12/23/2014",11,44.96,145.061857407291
"12/23/2014",12,44.96,143.974504318623
"12/23/2014",13,44.72,142.53277633809
"12/23/2014",14,44.96,141.824188754608
"12/23/2014",15,44.96,140.761104547316
"12/23/2014",16,45.68,140.76336748156
"12/23/2014",17,46.04,140.229702550439
"12/23/2014",18,46.04,139.178570275447
"12/23/2014",19,46.04,138.135317066297
"12/23/2014",20,46.04,78.8567096192407
"12/23/2014",21,42.98,75.7522095619104
"12/23/2014",22,42.98,75.1843869756513
"12/23/2014",23,42.08,73.8751112647946
"12/24/2014",0,42.08,89.3600529103532
"12/24/2014",1,42.08,88.690228800334
"12/24/2014",2,42.08,88.0254255505734
"12/24/2014",3,42.08,87.3656055257618
"12/24/2014",4,41,85.6473154441755
"12/24/2014",5,41,85.0053212311631
"12/24/2014",6,41,84.3681392713708
"12/24/2014",7,42.08,147.390115305958
"12/24/2014",8,42.08,146.285310087126
"12/24/2014",9,42.98,146.654349436895
"12/24/2014",10,44.96,148.699798414024
"12/24/2014",11,44.96,147.585176086835
"12/24/2014",12,44.96,146.478908733529
"12/24/2014",13,44.96,145.380933726985
"12/24/2014",14,44.96,144.29118890952
"12/24/2014",15,44.96,143.209612589373
"12/24/2014",16,46.04,143.746460121231
"12/24/2014",17,44.78,140.802393028352
"12/24/2014",18,46.22,141.862020108669
"12/24/2014",19,46.04,140.538150120333
"12/24/2014",20,44.78,79.1787561321914
"12/24/2014",21,44.78,78.5852488755218
"12/24/2014",22,46.04,79.0301618908316
"12/24/2014",23,44.96,77.5590710749574
"12/25/2014",0,44.78,93.637760482969
"12/25/2014",1,44.72,92.8767523372245
"12/25/2014",2,46.94,94.3247192062349
"12/25/2014",3,57.92,103.4383839553
"12/25/2014",4,58.46,103.116184484124
"12/25/2014",5,57.56,101.592428787569
"12/25/2014",6,57.56,100.830913367859
"12/25/2014",7,55.67,171.254912714198
"12/25/2014",8,57.02,171.915111636587
"12/25/2014",9,53.96,166.217712528101
"12/25/2014",10,51.98,162.070605316102
"12/25/2014",11,50,157.918104876238
"12/25/2014",12,51.08,158.332097569129
"12/25/2014",13,51.08,157.145273558985
"12/25/2014",14,50,154.393494706569
"12/25/2014",15,48.02,150.325685139374
"12/25/2014",16,46.94,147.596809097523
"12/25/2014",17,46.94,146.490454545623
"12/25/2014",18,46.94,145.392392994106
"12/25/2014",19,46.04,142.982779919823
"12/25/2014",20,46.04,81.6239597240569
"12/25/2014",21,44.96,80.1045871878951
"12/25/2014",22,44.96,79.5041400968955
"12/25/2014",23,44.06,78.154552088112
"12/26/2014",0,42.98,93.4295587868591
"12/26/2014",1,42.08,91.8025580634866
"12/26/2014",2,42.08,91.1144254499792
"12/26/2014",3,39.92,88.1978996075351
"12/26/2014",4,41,88.6528623885574
"12/26/2014",5,37.94,84.8081481434174
"12/26/2014",6,37.94,84.1724441515058
"12/26/2014",7,39.02,147.19262306258
"12/26/2014",8,42.98,152.947223432715
"12/26/2014",9,44.96,155.080441730887
"12/26/2014",10,46.04,155.661789245745
"12/26/2014",11,46.94,155.921025413503
"12/26/2014",12,48.02,156.432008576871
"12/26/2014",13,48.92,156.633723524401
"12/26/2014",14,48.92,155.459630167899
"12/26/2014",15,48.02,152.940566929164
"12/26/2014",16,48.02,151.794156695589
"12/26/2014",17,46.04,147.675525270096
"12/26/2014",18,44.96,144.926649350364
"12/26/2014",19,44.06,142.466509942805
"12/26/2014",20,42.98,80.3769381686128
"12/26/2014",21,42.98,79.7744495921024
"12/26/2014",22,42.08,78.385241627532
"12/26/2014",23,41,76.8435756318489
